c.item_category_id,c.item_category_name,num_sold,sales
4,Аксессуары - PSP,1.0,299.0
45,Книги - Аудиокниги 1С,2.0,498.0
78,Программы - Обучающие (Цифра),3.0,609.0
54,Книги - Цифра,7.0,1850.0
33,Карты оплаты - Live!,1.0,2499.0
9,Доставка товара,17.0,2824.0
49,Книги - Методические материалы 1С,11.0,3869.0
71,"Подарки - Сумки, Альбомы, Коврики д/мыши",969.0,4828.5
43,Книги - Аудиокниги,19.0,6581.0
73,Программы - 1С:Предприятие 8,10.0,7208.0
5,Аксессуары - PSVita,12.0,7828.0
60,Музыка - Подарочные издания,3.0,7997.0
83,Элементы питания,91.0,9959.0
76,Программы - Для дома и офиса (Цифра),20.0,15478.0
57,Музыка - MP3,54.0,15700.0
31,Игры PC - Цифра,70.0,32038.0
21,Игры - PSP,75.0,41720.0
29,Игры PC - Коллекционные издания,22.0,63748.0
58,Музыка - Винил,37.0,64812.0
56,Музыка - CD фирменного производства,45.0,68954.0
25,Игры - Аксессуары для игр,75.0,72743.0
38,Кино - Blu-Ray 3D,101.0,82566.71994018555
34,Карты оплаты - Live! (Цифра),74.0,94947.0
70,Подарки - Сувениры (в навеску),284.0,97163.20001220703
79,Служебные,89.0,98427.0
22,Игры - PSVita,110.0,112129.20001220703
41,Кино - Коллекционное,80.0,118525.26000976562
75,Программы - Для дома и офиса,72.0,149720.0
65,Подарки - Настольные игры (компактные),384.0,161313.40002441406
62,"Подарки - Гаджеты, роботы, спорт",120.0,162594.20001220703
11,Игровые консоли - PS3,11.0,164890.0
2,Аксессуары - PS3,59.0,174683.0
14,Игровые консоли - PSVita,19.0,183026.0
37,Кино - Blu-Ray,375.0,191889.71994018555
61,Подарки - Атрибутика,146.0,202879.0
6,Аксессуары - XBOX 360,90.0,204262.0
67,Подарки - Развитие,235.0,211786.9501953125
55,Музыка - CD локального производства,665.0,212350.69995117188
40,Кино - DVD,979.0,258454.00004577637
7,Аксессуары - XBOX ONE,96.0,264002.69873046875
15,Игровые консоли - XBOX 360,22.0,292788.0
35,Карты оплаты - PSN,174.0,311225.599609375
28,Игры PC - Дополнительные издания,377.0,350226.3999633789
64,Подарки - Настольные игры,365.0,388911.40017700195
63,Подарки - Мягкие игрушки,483.0,396398.39988708496
69,Подарки - Сувениры,276.0,429105.8999633789
72,Подарки - Фигурки,340.0,479107.5
24,Игры - XBOX ONE,222.0,488117.1007080078
3,Аксессуары - PS4,207.0,577625.75
30,Игры PC - Стандартные издания,988.0,713317.5500640869
16,Игровые консоли - XBOX ONE,61.0,1025125.197265625
23,Игры - XBOX 360,870.0,1322916.1297607422
19,Игры - PS3,848.0,1439454.7001953125
20,Игры - PS4,562.0,1507341.949584961
12,Игровые консоли - PS4,66.0,1722190.0
