s1.item_id,i.item_name,sale
6675,Sony PlayStation 4 (500 Gb) Black (CUH-1008A/1108A/B01),1071420.0
13443,Комплект Sony PS4 (500 Gb) Black (CUH-1108A/B01) + игра Grand Theft Auto V,544810.0
7982,Xbox One 500 ГБ + Assassins Creed Единство + Assassins Creed Черный Флаг (5C7-00095),477922.7587890625
13405,"Комплект ""Microsoft Xbox One 500GB (Day One Edition Green Box)"" + ""FIFA 15"" + ""Forza Motorsport 5""",303600.69921875
6503,"Sims 4 [PC, русская версия]",205575.0
8452,Аксессуар: Xbox One Беспроводной геймпад (S2V-00018),194900.49853515625
3343,"FIFA 15 [Xbox 360, русская версия]",194049.0
3733,"Grand Theft Auto V [PS4, русские субтитры]",193658.7001953125
3341,"FIFA 15 [PS3, русская версия]",155995.0
13400,"Комплект ""Microsoft Xbox 360 E 500GB""+Kinect+ ""Kinect Adventures+Forza Horizon+Kinect Sports” + Live 1 мес. (3MN-00005)",151910.0
