date,date_block_num,shop_id,item_id,item_price,item_cnt_day
20.04.2014,15,27,10498,999.0,1.0
20.04.2014,15,57,3077,799.0,1.0
20.04.2014,15,57,4228,899.0,1.0
20.04.2014,15,56,1941,1599.0,1.0
20.04.2014,15,41,13888,349.0,1.0
20.04.2014,15,45,21385,1199.0,1.0
20.04.2014,15,54,15097,349.0,1.0
20.04.2014,15,53,13071,599.0,1.0
20.04.2014,15,19,14900,199.33,1.0
20.04.2014,15,19,15640,352.27,1.0
20.04.2014,15,31,14483,58.0,1.0
20.04.2014,15,22,1287,149.0,1.0
20.04.2014,15,57,21893,149.0,1.0
20.04.2014,15,56,2574,399.0,1.0
20.04.2014,15,45,7206,199.0,1.0
20.04.2014,15,31,17956,399.0,1.0
20.04.2014,15,45,3719,599.0,1.0
20.04.2014,15,53,11925,549.0,1.0
20.04.2014,15,31,15016,249.0,1.0
20.04.2014,15,53,20610,799.0,1.0
20.04.2014,15,50,9512,399.0,1.0
20.04.2014,15,53,18588,149.0,1.0
20.04.2014,15,31,11400,549.0,1.0
20.04.2014,15,53,16085,399.0,1.0
20.04.2014,15,53,11922,549.0,1.0
20.04.2014,15,31,17322,149.0,1.0
20.04.2014,15,50,6501,699.0,1.0
20.04.2014,15,53,11921,549.0,1.0
20.04.2014,15,35,17715,1709.0,1.0
20.04.2014,15,31,17980,149.0,1.0
20.04.2014,15,55,22166,150.0,1.0
20.04.2014,15,37,3928,2799.0,1.0
20.04.2014,15,59,16206,699.0,1.0
20.04.2014,15,41,7856,799.0,1.0
20.04.2014,15,19,16626,199.33,1.0
20.04.2014,15,57,3276,98.0,1.0
20.04.2014,15,35,17344,149.0,1.0
20.04.2014,15,58,1855,1199.0,1.0
20.04.2014,15,54,18388,58.0,1.0
20.04.2014,15,57,3476,799.0,1.0
20.04.2014,15,22,8058,500.0,1.0
20.04.2014,15,27,14518,199.0,1.0
20.04.2014,15,27,15044,699.0,1.0
20.04.2014,15,53,18230,58.0,1.0
20.04.2014,15,51,2319,713.0,1.0
20.04.2014,15,22,4395,2999.0,1.0
20.04.2014,15,59,17396,399.0,1.0
20.04.2014,15,53,19692,149.0,1.0
20.04.2014,15,57,2814,899.0,1.0
20.04.2014,15,58,1856,2499.0,1.0
20.04.2014,15,45,4836,1999.0,1.0
20.04.2014,15,52,8416,549.0,1.0
20.04.2014,15,58,1830,599.0,1.0
20.04.2014,15,35,18957,399.0,1.0
20.04.2014,15,57,2678,699.3,1.0
20.04.2014,15,55,19385,127.0,1.0
20.04.2014,15,31,16017,339.0,1.0
20.04.2014,15,59,17362,149.0,1.0
20.04.2014,15,22,2814,899.0,1.0
20.04.2014,15,53,20606,799.0,1.0
20.04.2014,15,35,19846,58.0,1.0
20.04.2014,15,53,18286,199.0,1.0
20.04.2014,15,37,3732,2599.0,1.0
20.04.2014,15,27,15054,499.0,1.0
20.04.2014,15,53,18138,349.0,1.0
20.04.2014,15,57,4241,699.3,1.0
20.04.2014,15,53,18751,199.0,1.0
20.04.2014,15,19,22076,99.0,1.0
20.04.2014,15,27,10563,1699.0,1.0
20.04.2014,15,51,1306,203.0,1.0
20.04.2014,15,58,1916,249.0,1.0
20.04.2014,15,31,14612,179.0,3.0
20.04.2014,15,57,21713,199.0,1.0
20.04.2014,15,22,786,359.0,1.0
20.04.2014,15,31,15632,699.0,1.0
20.04.2014,15,56,1775,399.0,1.0
20.04.2014,15,57,21677,149.0,1.0
20.04.2014,15,29,3328,999.0,1.0
20.04.2014,15,41,7220,1299.0,1.0
20.04.2014,15,37,3818,499.0,1.0
20.04.2014,15,59,19993,174.5,1.0
20.04.2014,15,41,11048,549.0,1.0
20.04.2014,15,53,19046,299.0,1.0
20.04.2014,15,54,14730,149.0,1.0
20.04.2014,15,57,21864,349.0,1.0
20.04.2014,15,57,3367,798.7,1.0
20.04.2014,15,57,21967,399.0,1.0
20.04.2014,15,54,18800,149.0,1.0
20.04.2014,15,22,2806,299.0,1.0
20.04.2014,15,29,3329,2499.0,1.0
20.04.2014,15,53,16056,699.0,1.0
20.04.2014,15,57,22143,349.0,1.0
20.04.2014,15,57,6491,170.92,1.0
20.04.2014,15,57,6490,699.0,1.0
20.04.2014,15,54,2032,1149.5,1.0
20.04.2014,15,31,11146,229.0,1.0
20.04.2014,15,56,3935,2099.0,-1.0
20.04.2014,15,54,1687,1499.0,1.0
20.04.2014,15,37,16087,399.0,1.0
20.04.2014,15,52,4382,199.0,1.0
20.04.2014,15,54,14670,199.0,1.0
20.04.2014,15,31,21879,299.0,1.0
20.04.2014,15,57,7206,199.0,1.0
20.04.2014,15,56,3251,299.0,1.0
20.04.2014,15,56,3423,999.0,1.0
20.04.2014,15,51,2814,662.0,1.0
20.04.2014,15,54,14672,199.0,1.0
20.04.2014,15,37,12569,332.67,1.0
20.04.2014,15,56,3183,599.0,1.0
20.04.2014,15,58,3077,798.9,3.0
20.04.2014,15,38,7894,1490.0,1.0
20.04.2014,15,27,19185,399.0,1.0
20.04.2014,15,19,17346,169.0,1.0
20.04.2014,15,27,19033,99.0,1.0
20.04.2014,15,19,17480,149.0,1.0
20.04.2014,15,57,6472,699.0,1.0
20.04.2014,15,57,6466,699.0,1.0
20.04.2014,15,27,19195,399.0,1.0
20.04.2014,15,54,1411,159.0,1.0
20.04.2014,15,59,20958,548.5,1.0
20.04.2014,15,27,19194,399.0,1.0
20.04.2014,15,37,15287,799.0,2.0
20.04.2014,15,58,2814,899.0,2.0
20.04.2014,15,37,15275,1499.0,1.0
20.04.2014,15,37,14730,149.0,1.0
20.04.2014,15,54,1377,699.0,1.0
20.04.2014,15,27,19189,399.0,1.0
20.04.2014,15,27,18624,415.92,1.0
20.04.2014,15,19,17253,149.0,1.0
20.04.2014,15,31,21842,199.0,1.0
20.04.2014,15,37,13903,199.0,1.0
20.04.2014,15,54,1916,249.0,1.0
20.04.2014,15,58,2916,2999.0,1.0
20.04.2014,15,52,4380,199.0,1.0
20.04.2014,15,22,15632,699.0,1.0
20.04.2014,15,59,13028,199.0,1.0
20.04.2014,15,50,4271,2799.0,1.0
20.04.2014,15,56,3732,2599.0,2.0
20.04.2014,15,29,5643,2290.0,1.0
20.04.2014,15,54,1131,399.0,1.0
20.04.2014,15,45,2449,999.0,1.0
20.04.2014,15,31,16182,1339.0,1.0
20.04.2014,15,46,1855,1199.0,1.0
20.04.2014,15,52,4357,399.0,1.0
20.04.2014,15,59,13894,199.0,1.0
20.04.2014,15,57,4907,1499.0,2.0
20.04.2014,15,54,1921,249.0,1.0
20.04.2014,15,37,19822,399.0,1.0
20.04.2014,15,54,1937,599.0,1.0
20.04.2014,15,51,1406,651.0,1.0
20.04.2014,15,31,21847,149.0,1.0
20.04.2014,15,31,15833,149.0,1.0
20.04.2014,15,31,21849,149.0,1.0
20.04.2014,15,31,21851,149.0,1.0
20.04.2014,15,58,3146,2590.0,1.0
20.04.2014,15,37,13888,349.0,1.0
20.04.2014,15,37,13624,199.0,1.0
20.04.2014,15,22,16727,299.0,1.0
20.04.2014,15,31,21853,149.0,1.0
20.04.2014,15,45,3928,2799.0,1.0
20.04.2014,15,56,2814,899.0,2.0
20.04.2014,15,41,12472,199.0,1.0
20.04.2014,15,52,4381,199.0,1.0
20.04.2014,15,59,12970,199.0,1.0
20.04.2014,15,59,13998,149.0,1.0
20.04.2014,15,45,3689,899.0,1.0
20.04.2014,15,27,19406,419.3,1.0
20.04.2014,15,54,1364,599.0,1.0
20.04.2014,15,27,9929,399.0,1.0
20.04.2014,15,57,6498,699.0,1.0
20.04.2014,15,58,3930,399.0,1.0
20.04.2014,15,19,14740,352.27,1.0
20.04.2014,15,31,18791,149.0,1.0
20.04.2014,15,41,12940,149.0,1.0
20.04.2014,15,50,4181,999.0,1.0
20.04.2014,15,53,15279,799.0,1.0
20.04.2014,15,56,4391,599.0,1.0
20.04.2014,15,19,14449,149.0,1.0
20.04.2014,15,29,6738,699.0,1.0
20.04.2014,15,19,15092,589.0,1.0
20.04.2014,15,53,14888,549.0,1.0
20.04.2014,15,51,2900,551.0,1.0
20.04.2014,15,45,3360,98.0,1.0
20.04.2014,15,45,3543,299.0,1.0
20.04.2014,15,45,21404,399.0,2.0
20.04.2014,15,19,13894,199.0,1.0
20.04.2014,15,53,10292,99.0,1.0
20.04.2014,15,53,10959,399.0,1.0
20.04.2014,15,35,19253,299.0,1.0
20.04.2014,15,29,7047,419.3,1.0
20.04.2014,15,52,20328,349.0,1.0
20.04.2014,15,53,10943,199.0,1.0
20.04.2014,15,58,3676,629.3,2.0
20.04.2014,15,57,6488,699.0,1.0
20.04.2014,15,58,3928,2799.0,2.0
20.04.2014,15,35,21384,399.0,2.0
20.04.2014,15,53,13491,14490.0,1.0
20.04.2014,15,27,9845,399.0,1.0
20.04.2014,15,31,16444,449.0,1.0
20.04.2014,15,31,18792,149.0,1.0
20.04.2014,15,56,4357,399.0,1.0
20.04.2014,15,19,15136,199.0,2.0
20.04.2014,15,38,6717,299.0,1.0
20.04.2014,15,59,20949,5.0,4.0
20.04.2014,15,58,3148,1850.0,1.0
20.04.2014,15,19,21377,149.0,1.0
20.04.2014,15,27,11457,349.0,1.0
20.04.2014,15,27,11425,299.0,1.0
20.04.2014,15,56,5243,1999.0,1.0
20.04.2014,15,45,19780,149.0,1.0
20.04.2014,15,57,6474,228.08,1.0
20.04.2014,15,35,20949,5.0,2.0
20.04.2014,15,52,19630,149.0,1.0
20.04.2014,15,58,2269,799.0,1.0
20.04.2014,15,58,2263,999.0,1.0
20.04.2014,15,27,11242,399.0,1.0
20.04.2014,15,51,2675,115.0,1.0
20.04.2014,15,54,14847,229.0,1.0
20.04.2014,15,58,2416,449.0,2.0
20.04.2014,15,45,19752,349.0,1.0
20.04.2014,15,27,11145,149.0,1.0
20.04.2014,15,35,20659,1149.0,1.0
20.04.2014,15,57,6185,499.0,1.0
20.04.2014,15,56,4178,1590.0,1.0
20.04.2014,15,27,12383,249.0,1.0
20.04.2014,15,31,17482,392.2,1.0
20.04.2014,15,52,19752,349.0,1.0
20.04.2014,15,19,20949,5.0,2.0
20.04.2014,15,53,15085,399.0,1.0
20.04.2014,15,56,4561,599.0,1.0
20.04.2014,15,51,2914,551.0,1.0
20.04.2014,15,54,1511,799.0,1.0
20.04.2014,15,59,11698,399.0,1.0
20.04.2014,15,54,14666,199.0,1.0
20.04.2014,15,27,10718,399.0,3.0
20.04.2014,15,58,2808,999.0,1.0
20.04.2014,15,59,21384,359.0,2.0
20.04.2014,15,54,1495,599.0,2.0
20.04.2014,15,35,21385,1199.0,1.0
20.04.2014,15,22,1406,999.0,2.0
