,item_id,mean_price,item_name,item_category_id
0,6066,307980.0,Radmin 3  - 522 лиц.,75
1,13199,50999.0,Коллекционные шахматы (Властелин Колец),69
2,7238,42000.0,UserGate Proxy & Firewall 6.X до 100 сессий,75
3,14173,40900.0,Лицензия 1С-Битрикс: Управление сайтом - Эксперт,75
4,5748,35132.857142857145,Photoshop 13 Windows Russian BOX,75
5,2410,34713.5,CorelDRAW Graphics Suite X6 - Small Business Edition Russian BOX,75
6,3143,29700.0,ESET NOD32 Smart Security Business Edition newsale for 20 user,75
7,5909,28990.0,Project 2013 32-bit/x64 Russian CEE DVD,75
8,476,28050.0,1С:Бухгалтерия 8 ПРОФ на 5 польз. Поставка для розничного распространения.,73
9,102,27900.0,"1С-Битрикс: Управление сайтом - Малый бизнес [PC, Цифровая версия]",76
10,475,27484.615384615383,1С:Бухгалтерия 8 ПРОФ на 5 польз. Поставка для розничного распространения (USB),73
11,13404,26943.546147365196,"Комплект ""Microsoft Xbox One 500GB (Black Box)"" + ""Xbox One Kinect (Сенсор)"" + ИГРЫ",16
12,13406,26344.232776988636,"Комплект ""Microsoft Xbox One 500GB"" + ""Xbox One Kinect (Сенсор)"" + ""Dance Central Spotlight"" + ""Xbox",16
13,3142,26244.0,ESET NOD32 Smart Security Business Edition 1Y RNW for 30 user,75
14,13443,24373.293246501515,Комплект Sony PS4 (500 Gb) Black (CUH-1108A/B01) + игра Grand Theft Auto V,12
15,2411,23990.0,CorelDRAW Graphics Suite X6 Rus (box),75
16,13442,23981.049869791666,Комплект Sony PS4 (500 Gb) Black (CUH-1108A/B01) + игра Far Cry 4,12
17,13401,23904.85335553279,"Комплект ""Microsoft Xbox One 1TB  (CoD:AW) + ""Call of Duty: Advanced Warfare"" + ""Xbox LIVE Gold 14 дн."" [5C7-00013]",16
18,13441,22546.62015188769,Комплект Sony PS4 (500 Gb) Black (CUH-1108A/B01) + игра Destiny,12
19,13444,22437.699386503067,Комплект Sony PS4 (500 Gb) Black (CUH-1108A/B01) + игра Одни из нас. Обновленная версия,12
20,1349,21990.0,Acrobat Professional 11 Windows Russian BOX,75
21,13498,21725.62424242424,Комплект «Sony PS4 (500 Gb) Black (CUH-1108A/B01)» + игра «Driveclub»,12
22,21483,21499.0,Хогвартс (Гарри Поттер),69
23,6675,21324.464117817868,Sony PlayStation 4 (500 Gb) Black (CUH-1008A/1108A/B01),12
24,20842,20899.0,"Фигурка Terminator T-800 Endoskeleton 1/4 Scale 18""",72
25,14170,20785.5,Лицензия 1С-Битрикс: Управление сайтом - Малый бизнес,75
26,6677,20165.87248328669,Sony PlayStation 4 (500 Gb) White (CUH-1108A),12
27,7240,18240.0,UserGate Proxy & Firewall 6.X до 25 сессий,75
28,13405,18215.245389400043,"Комплект ""Microsoft Xbox One 500GB (Day One Edition Green Box)"" + ""FIFA 15"" + ""Forza Motorsport 5""",16
29,20713,17999.0,"Фигурка Robocop ED-209 Talking Version 1/6 Scale 13""",72
30,4383,17856.14285714286,LEGO Майндстормс EV3 (31313),62
31,7983,17486.415557116998,Xbox One 500 ГБ White + Sunset Overdrive (6QZ-00038),16
32,5391,17406.833333333332,Office Pro 2013 32-bit/x64 Russian Russia Only EM DVD No Skype,75
33,5568,17000.0,"PROMT Коллекция словарей ""ГИГАНТ"" [PC, Цифровая версия]",76
34,5392,16790.0,"Office Professional 2013 [PC, Цифровая версия]",76
35,7982,16293.892704854485,Xbox One 500 ГБ + Assassins Creed Единство + Assassins Creed Черный Флаг (5C7-00095),16
36,20534,15999.0,"Фигурка Gremlins Stunt Puppet Brain 30""",72
