,item_id,abc,xyz,total_sale,item_name,item_category_id
0,7982,B,X,3286970.9580078125,Xbox One 500 ГБ + Assassins Creed Единство + Assassins Creed Черный Флаг (5C7-00095),16
1,5666,B,X,883470.69921875,PS4: Контроллер игровой беспроводной белый (Dualshock 4 Cont Glacier White: CUH-ZCT1E: SCEE),3
2,2878,B,X,714729.75,"Disney. Infinity 2.0 (Marvel). Стартовый набор [Xbox 360, русская версия]",23
3,1541,B,X,666346.6297607422,"Assassin's Creed: Единство. Bastille Edition [PC, русская версия]",29
4,2876,B,X,623743.75,"Disney. Infinity 2.0 (Marvel). Стартовый набор [PS3, русская версия]",19
5,3464,B,X,529863.0,"Far Cry 4. Специальное издание [Xbox One, русская версия]",24
6,1233,B,X,489941.4998779297,AC/DC  Rock Or Bust (фирм.),56
7,4869,B,X,335638.0,"Minecraft [PS Vita, русская версия]",22
8,3443,B,X,249407.7001953125,"Far Cry 4 [PC, русская версия]",30
9,14143,B,X,225524.26998901367,ЛЮСИ (BD),37
