,item_id,abc,xyz,total_sale,item_name,item_category_id
0,13406,C,X,1265321.791015625,"Комплект ""Microsoft Xbox One 500GB"" + ""Xbox One Kinect (Сенсор)"" + ""Dance Central Spotlight"" + ""Xbox",16
1,13465,C,X,477449.0,Комплект «Sony PS Vita 2000 WiFi Black Rus (PCH-2016)» + Карта памяти 8 Гб + «Mega Pack Heroes PSN код активации»,14
2,7723,C,X,427681.81982421875,"WWE 2K15 [PS3, русская документация]",19
3,5902,C,X,367405.0,"Pro Evolution Soccer 2015 [PS4, русские субтитры]",20
4,2424,C,X,345191.0,"Crew [Xbox 360, русская версия]",23
5,2877,C,X,334898.14990234375,"Disney. Infinity 2.0 (Marvel). Стартовый набор [PS4, русская версия]",20
6,13494,C,X,310790.0,Комплект «Sony PS3 Super Slim (500 Gb) (CECH-4308C)» + игры: «Heavy Rain (Essentials)» + «Gran Turismo 5 (Essentials)» + «Uncharted 3 (Essentials)»,11
7,6066,C,X,307980.0,Radmin 3  - 522 лиц.,75
8,4998,C,X,300651.06005859375,"NBA 2K15 [Xbox 360, английская версия]",23
9,7725,C,X,271219.0,"WWE 2K15 [Xbox 360, русская документация]",23
