,sale_date,month_num,total_daily_sale
0,01.01.2013,0,1371116.5003967285
1,01.01.2014,12,2173087.9994659424
2,01.02.2013,1,2544122.0012054443
3,01.02.2014,13,4169329.0011291504
4,01.03.2013,2,2535127.6999206543
5,01.03.2014,14,5103082.999938965
6,01.04.2013,3,1829816.0002441406
7,01.04.2014,15,1948041.9998016357
8,01.05.2013,4,2744155.979652405
9,01.05.2014,16,2824816.540646076
10,01.06.2013,5,3269599.001783967
11,01.06.2014,17,3810638.9989700317
12,01.07.2013,6,2248847.0002441406
13,01.07.2014,18,2021553.3400878906
14,01.08.2013,7,1863500.2010910586
15,01.08.2014,19,2745638.9998931885
16,01.09.2013,8,3204354.000831604
17,01.09.2014,20,2213220.6902313232
18,01.10.2013,9,2599662.599380493
19,01.10.2014,21,3848738.729270935
20,01.11.2013,10,4026563.9999923706
21,01.11.2014,22,4811000.490196228
22,01.12.2013,11,5471996.0
23,01.12.2014,23,3173824.2904052734
24,02.01.2013,0,6070414.009483337
25,02.01.2014,12,7336374.000488281
26,02.02.2013,1,3946371.000228882
27,02.02.2014,13,3447305.989112854
28,02.03.2013,2,4062618.0290870667
29,02.03.2014,14,3507336.9900131226
30,02.04.2013,3,1893208.0000972748
31,02.04.2014,15,2038285.9999847412
32,02.05.2013,4,2527847.4896621704
33,02.05.2014,16,2495147.410555005
34,02.06.2013,5,2394869.989792049
35,02.06.2014,17,2492237.9999542236
36,02.07.2013,6,2172009.6004333496
37,02.07.2014,18,2091523.0004882812
38,02.08.2013,7,2502959.180925034
39,02.08.2014,19,3274729.0000305176
40,02.09.2013,8,3458674.4998168945
41,02.09.2014,20,1732607.1599731445
42,02.10.2013,9,2592227.9995269775
43,02.10.2014,21,5773584.950119019
44,02.11.2013,10,5486834.0
45,02.11.2014,22,3884028.23046875
46,02.12.2013,11,2895101.149963379
47,02.12.2014,23,3707655.609161377
48,03.01.2013,0,5460386.501403809
49,03.01.2014,12,6157385.001403809
50,03.02.2013,1,3104086.0001220703
51,03.02.2014,13,1891956.2003631592
52,03.03.2013,2,3567820.0003204346
53,03.03.2014,14,2371046.999771118
54,03.04.2013,3,1778214.0003356934
55,03.04.2014,15,2196650.999923706
56,03.05.2013,4,2298720.0001983643
57,03.05.2014,16,2692634.6600785255
58,03.06.2013,5,1965512.0005464032
59,03.06.2014,17,2286471.000015259
